# arcos_cerrados:
id,sev,repo,arco,estado,evidencia,informe,donde
QK-1,P0,quark,—,hecho,quark#338,quark.md,"`quarkdriver/known.go:88-98` (`IsRegistered`), usado en `client.go:255-259`"
QK-2,P1,quark,—,hecho,quark#338,quark.md,"`superapp` (raíz, 42 232 786 B, Mach-O arm64), `.gitignore:5-9`"
QK-3,P1,quark,—,hecho,quark#338,quark.md,"`README.md` (Quick Start, `_ ""modernc.org/sqlite""`), `website/docs/guides/getting-started.mdx:308`, `website/docs/guides"
QK-4,P1,quark,—,hecho,quark#338,quark.md,"`client.go:255-259`, `quarkdriver/driver.go:132` (`HasEngine` no se usa fuera de `drivertest`)"
QK-5,P1,quark,—,hecho,quark#338,quark.md,"`drivers/mysql/go.mod:6`, `drivers/sqlite/go.mod:6`, `drivers/mssql/go.mod:6`, `drivers/oracle/go.mod:6` (`quark v1.8.0`"
QK-6,P2,quark,—,hecho,quark#350,quark.md,"`migrate/migrate.go:128-170`, `cmd/quark/commands/migrate.go`, `migrate_execute.go:56` (sólo lo documenta)"
QK-7,P2,quark,—,hecho,quark#338,quark.md,"`README.md` tabla ""Why Quark"" (fila ""Native Generics"", fila ""`stdlib` `*sql.DB`""), `docs/comparison.md` §1, `website/doc"
QK-8,P2,quark,—,hecho,quark#350,quark.md,"`drivers/postgres/listener.go:16-17`, `quarkdriver/listener.go` (`NewListenerFunc func(db *sql.DB, g *guard.SQLGuard)`)"
QK-9,P2,quark,—,hecho,quark#338,quark.md,"`codegen_registry.go:169-184`, `cmd/quark/internal/codegen/emit.go:120-131`"
QK-10,P3,quark,—,hecho,quark#338,quark.md,"`zz_drivers_for_test.go:7`, `cmd/quark/internal/db/drivers.go:7`, `quarktenant/zz_drivers_for_test.go:6`, `quarktest/zz_"
QK-11,P3,quark,—,hecho,quark#338,quark.md,"`README.md` § ""Project Structure"""
QK-12,P3,quark,—,hecho,quark#338,quark.md,"`TASKS.md` (235 KB, congelado 2026-06-20 según su propio banner), `docs/ANALISIS_MADUREZ.md` (2026-05-10, sin banner), `"
QK-13,P3,quark,—,hecho,quark#338,quark.md,"`drivers/mysql/CHANGELOG.md`, `drivers/postgres/CHANGELOG.md`"
QK-14,P3,quark,A3,abierto,documentado en el README de quark (qué lista go.mod vs qué enlaza un binario); sacar los drivers de la raíz exige que cmd/quark sea módulo propio — decisión en A3,quark.md,`go.mod:7-31` (raíz)
QK-15,P3,quark,—,hecho,quark#338,quark.md,"`website/docs/guides/installation.mdx:44-48`, `website/docs/advanced/events.mdx:129-135`"
